country,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,year
Afghanistan,5.72,6.38,6.6,7.75,10.01,11.78,11.51,10.96,10.13,9.12,8.44,5.88,8.7
Albania,4.0,4.46,5.32,6.37,8.48,9.93,11.42,10.55,8.8,7.03,4.23,2.84,6.97
Algeria,7.2,7.87,8.46,9.75,10.45,10.4,11.4,10.5,8.75,8.69,7.5,6.59,8.95
Angola,7.06,7.43,6.87,6.63,7.52,7.43,5.65,4.84,4.83,5.29,6.63,6.84,6.41
Argentina,8.2,8.2,6.7,6.25,5.25,4.2,5.05,5.95,6.0,7.01,7.95,7.9,6.59
Armenia,3.0,3.86,5.23,5.9,7.81,9.9,11.06,10.71,9.27,6.84,4.6,2.97,6.78
Australia,8.6,8.17,7.5,7.3,6.0,5.5,6.08,7.0,7.7,8.6,8.9,8.56,7.71
Austria,2.13,3.79,4.13,6.1,7.71,7.6,8.39,8.1,5.6,4.48,2.2,1.65,5.16
Azerbaijan,2.9,3.18,4.0,6.5,8.3,9.8,10.1,9.1,7.4,4.7,3.1,3.3,6.05
Bangladesh,9.0,8.07,7.0,6.0,5.0,3.0,2.0,2.0,3.0,6.0,8.0,9.0,5.66
Belarus,1.1,2.57,4.29,6.17,8.71,8.9,8.74,8.1,5.13,3.32,1.3,0.9,4.95
Belgium,1.9,2.75,3.68,5.3,6.16,6.27,6.48,6.13,4.77,3.65,2.2,1.45,4.24
Benin,8.42,8.68,8.13,7.67,7.71,6.43,4.4,4.8,5.5,7.0,8.4,8.0,6.85
Bolivia,5.9,5.45,4.8,5.5,7.18,8.0,7.6,7.0,6.3,5.8,5.7,6.0,6.27
Bosnia and Herzegovina,1.84,3.0,4.06,5.07,6.19,6.9,8.26,7.68,6.23,4.81,2.7,1.32,4.85
Botswana,9.05,9.34,8.53,9.4,10.0,10.0,10.1,10.29,10.28,9.39,8.85,8.61,9.24
Brazil,5.68,6.47,5.37,5.64,6.0,6.23,6.32,6.44,6.75,5.91,5.56,5.31,6.12
Bulgaria,2.84,4.07,5.16,6.07,7.42,8.6,9.74,9.29,7.33,5.29,3.53,2.13,5.96
Burkina Faso,9.32,9.46,8.77,8.73,9.05,8.93,8.03,7.68,7.97,8.92,9.6,9.1,8.79
Burundi,5.4,5.65,5.7,5.5,6.8,8.5,8.8,8.1,7.1,6.1,5.0,5.3,6.5
Cameroon,7.4,7.71,6.54,6.16,5.88,4.63,3.44,3.4,3.93,4.9,7.07,7.51,5.64
Canada,2.77,4.2,5.55,7.22,7.39,8.65,9.09,7.94,6.3,4.65,2.8,2.52,5.62
Central African Republic,8.17,8.41,7.36,7.14,7.12,6.61,5.08,5.01,6.0,6.81,7.84,8.3,6.98
Chad,9.9,10.15,9.4,9.55,9.65,9.3,7.55,6.9,8.15,9.55,10.2,10.05,9.19
Chile,11.0,10.39,8.8,6.7,5.0,4.0,4.7,5.23,6.57,8.19,9.87,10.68,7.69
China,4.02,3.87,3.93,4.95,5.48,5.43,7.1,6.83,5.86,6.08,5.43,5.08,5.08
Colombia,5.78,5.44,5.17,4.45,4.61,5.44,6.34,5.91,5.18,4.58,4.84,5.26,5.25
"Congo, Democratic Republic of",4.08,4.64,5.31,6.4,7.19,6.92,7.08,7.63,6.9,7.05,5.73,4.13,6.1
"Congo, Republic of",5.06,5.57,5.29,5.33,4.87,4.53,3.84,3.42,3.03,3.74,4.27,4.65,4.4
Cote d'Ivoire,7.81,7.96,7.06,7.13,6.71,4.83,4.42,4.03,4.63,6.94,7.47,7.23,6.29
Croatia,3.1,4.45,5.26,6.42,8.18,9.17,10.13,9.29,7.22,5.21,3.35,2.82,6.22
Cyprus,5.9,7.15,7.7,8.9,10.7,12.3,12.5,11.8,10.4,8.9,7.1,5.5,9.08
Czech Republic,1.61,2.57,4.03,5.6,6.9,7.27,7.29,6.84,5.37,3.9,1.8,1.52,4.57
Denmark,1.74,2.71,4.9,7.53,8.74,8.67,7.94,7.45,5.83,3.35,2.0,1.45,5.24
Djibouti,8.19,8.89,9.0,9.3,10.0,7.9,7.61,8.9,9.4,10.0,9.7,8.9,8.98
Ecuador,4.83,4.32,4.22,4.77,5.35,5.2,6.07,6.28,5.67,5.05,5.28,5.67,5.23
Egypt,8.57,9.91,9.0,10.5,10.9,12.1,12.0,11.9,11.0,9.9,8.8,7.96,9.81
El Salvador,9.71,9.89,9.48,8.1,7.1,5.8,7.71,8.29,6.0,6.81,8.9,9.48,8.1
Equatorial Guinea,5.65,6.15,4.55,4.95,4.95,3.6,3.05,3.25,2.7,2.95,4.0,5.25,4.24
Eritrea,9.83,10.32,9.7,10.02,9.63,9.05,7.03,7.1,8.68,9.71,9.75,9.65,9.21
Estonia,1.08,2.29,4.81,7.38,10.03,10.13,10.35,8.5,5.63,3.03,1.12,0.71,5.46
Ethiopia,9.1,9.34,8.51,8.17,8.39,6.44,4.47,4.84,6.44,9.0,9.33,9.2,7.63
Falkland Islands,6.39,5.75,5.45,3.83,2.48,1.9,2.23,2.9,4.27,6.1,6.67,6.39,4.52
Faroe Islands,0.45,1.29,2.29,3.53,4.0,4.17,3.58,3.16,2.67,1.58,0.67,0.19,2.3
Fiji,6.2,6.36,5.5,5.1,4.7,4.7,4.4,4.6,4.5,5.3,5.6,6.3,5.27
Finland,1.23,2.5,4.45,6.47,9.16,9.9,9.39,7.68,5.0,3.0,1.2,0.94,5.09
France,2.39,3.61,5.48,6.37,7.13,8.47,9.13,8.16,6.5,4.19,2.53,1.74,5.48
French Guiana,3.04,3.21,3.84,3.94,3.83,4.95,6.34,7.41,8.51,8.1,7.24,4.44,5.41
Gabon,5.25,6.03,5.35,5.47,4.96,4.78,4.55,3.64,3.69,3.69,4.16,5.08,4.71
Gambia,9.0,10.07,10.0,10.0,10.0,9.0,6.0,6.0,6.0,8.0,8.0,9.0,8.41
Georgia,3.19,3.64,4.58,5.7,6.87,8.3,8.26,8.0,6.87,5.29,3.43,3.0,5.61
Germany,1.56,2.75,3.9,5.62,6.95,7.35,7.26,6.94,5.2,3.47,1.7,1.26,4.5
Ghana,7.0,8.07,7.0,7.0,7.0,5.0,5.0,4.48,5.37,7.0,8.0,8.0,6.66
Greece,4.19,4.79,5.9,7.7,9.39,11.2,11.71,11.0,9.2,6.71,5.1,4.1,7.6
Guinea,7.82,8.21,8.06,7.37,7.13,6.15,4.48,3.97,5.43,6.61,7.47,7.65,6.68
Guinea-Bissau,8.0,8.07,9.0,9.0,8.0,7.0,6.0,5.0,6.0,7.0,8.0,8.0,7.42
Guyana,6.48,7.45,7.09,6.6,5.77,5.22,6.5,7.54,7.66,7.59,7.03,6.02,6.74
Honduras,5.5,6.86,7.0,7.8,6.9,6.4,6.5,7.0,5.8,4.9,4.8,4.9,6.19
Hungary,2.0,3.32,4.42,5.9,7.55,8.33,8.74,8.23,6.23,4.55,2.3,1.68,5.45
Iceland,0.65,2.14,3.52,5.47,6.48,5.8,5.42,5.0,4.0,3.0,1.37,0.71,3.63
India,7.5,8.57,8.74,8.7,8.49,4.95,3.61,3.68,5.5,7.75,8.19,6.84,7.08
Indonesia,5.29,6.11,6.4,7.74,7.92,7.82,8.34,8.97,9.19,8.57,7.59,5.39,7.56
Iran,4.78,5.4,6.0,7.3,9.05,11.14,11.21,10.86,10.05,8.05,6.28,4.89,7.96
Iraq,6.2,7.26,7.9,8.5,9.7,11.6,11.2,11.4,10.5,8.8,7.1,6.3,8.88
Ireland,1.9,2.68,3.52,5.33,6.29,5.97,5.29,5.06,4.3,3.32,2.37,1.71,3.98
Israel,6.2,7.15,7.6,9.0,10.6,11.9,11.9,11.5,10.0,9.0,7.8,6.1,9.07
Italy,3.81,4.66,5.24,6.5,8.21,9.4,10.4,9.56,7.85,6.19,4.25,3.5,6.64
Japan,4.78,5.42,5.26,6.18,6.37,5.0,4.72,5.52,4.8,4.85,4.65,4.47,4.92
Kazakhstan,3.56,4.75,5.47,7.2,8.74,10.27,10.35,9.48,7.92,5.16,3.78,3.15,6.66
Kenya,9.0,9.34,8.65,8.3,7.85,7.7,7.5,8.1,8.6,8.9,8.6,8.35,8.28
Latvia,1.0,2.21,4.1,6.1,8.52,9.6,8.52,7.39,5.1,3.0,1.3,0.71,4.81
Libya,6.22,7.25,7.57,8.37,10.23,10.65,12.21,11.58,9.32,7.99,7.08,5.89,8.71
Lithuania,1.03,2.04,3.9,5.97,8.13,8.2,8.39,7.65,5.13,3.06,1.17,0.74,4.63
Luxembourg,1.39,2.93,3.81,5.5,6.71,7.0,7.5,6.71,5.3,3.5,1.9,1.39,4.48
Madagascar,6.77,6.48,6.68,7.95,8.28,7.71,7.85,8.36,9.05,9.0,8.62,7.2,7.76
Malawi,5.7,6.1,6.7,7.4,8.2,7.9,7.69,8.9,9.6,9.7,8.4,6.4,7.66
Mali,8.95,9.04,8.71,8.49,8.84,7.82,8.02,7.19,8.07,8.81,9.13,8.67,8.51
Malta,5.45,6.36,7.32,8.47,10.0,11.23,12.16,11.35,9.0,7.23,6.5,5.19,8.37
Mauritania,8.68,8.89,9.71,10.1,10.24,9.78,8.81,8.81,8.78,8.44,8.75,8.56,9.13
Mexico,5.94,7.48,8.39,7.45,8.11,7.05,8.08,7.85,6.12,5.87,6.7,5.39,6.85
Moldova,2.42,2.86,4.03,6.23,8.19,9.43,9.65,9.52,7.53,5.45,2.5,1.87,5.82
Monaco,4.83,5.68,5.98,7.0,8.0,9.37,10.62,9.57,7.49,6.42,5.17,4.4,7.05
Mongolia,5.78,7.31,8.55,8.75,9.65,8.97,8.04,8.33,8.19,7.34,5.91,5.05,7.65
Montenegro,3.97,4.5,5.48,6.47,8.1,9.2,10.97,10.13,8.4,6.48,4.2,3.52,6.8
Morocco,7.1,7.56,8.0,8.5,9.4,10.5,10.25,9.9,8.8,7.9,7.1,7.1,8.58
Mozambique,8.0,8.07,8.0,8.0,8.0,8.0,8.0,8.0,8.27,7.0,7.0,7.0,7.78
Namibia,10.34,9.89,9.58,9.65,9.9,9.93,10.18,10.71,10.67,10.68,10.75,10.21,10.24
Netherlands,2.03,3.14,4.06,6.1,7.16,6.87,7.0,6.35,4.63,3.52,2.07,1.65,4.55
New Zealand,7.31,6.88,5.91,5.16,4.18,3.54,3.81,4.52,5.2,5.95,6.65,6.64,5.56
Nicaragua,8.5,9.08,9.4,9.2,7.4,6.2,4.9,6.3,7.0,7.2,7.7,8.0,7.56
Niger,9.6,9.4,8.7,8.4,9.0,8.9,8.3,7.6,7.85,9.12,9.4,9.0,8.78
Nigeria,8.87,9.11,8.39,7.33,7.19,6.7,4.87,4.1,5.7,7.81,9.8,9.19,7.58
North Korea,5.94,7.04,7.45,7.9,8.48,7.63,5.84,6.58,7.4,6.9,5.5,5.32,6.83
North Macedonia,2.81,4.04,5.19,6.6,7.9,9.2,10.42,9.84,8.27,6.06,3.83,2.58,6.41
Norway,0.61,2.0,3.61,5.33,7.03,7.37,6.61,5.39,3.07,1.94,0.9,0.39,3.47
Oman,8.66,8.74,8.98,9.75,11.21,10.86,8.96,8.99,10.13,10.22,9.73,8.61,9.57
Pakistan,7.39,7.68,7.93,9.22,9.95,8.97,7.34,7.58,8.85,9.35,9.11,7.7,8.31
Panama,7.38,8.76,5.93,5.77,3.5,3.88,3.42,3.81,3.31,3.35,4.66,3.89,4.78
Papua New Guinea,5.87,5.64,5.94,6.67,6.81,6.67,6.55,7.16,7.1,7.45,8.1,6.97,6.75
Paraguay,8.9,8.79,8.19,7.6,6.61,5.5,6.29,7.19,6.8,7.81,9.0,9.52,7.68
Peru,6.49,6.4,6.2,7.97,6.53,5.69,5.16,5.52,5.57,5.95,6.63,6.95,6.25
Philippines,5.7,7.06,7.28,8.6,7.18,5.4,4.28,4.28,4.4,5.08,5.1,4.9,5.76
Poland,1.39,2.11,3.71,5.0,6.81,7.9,7.29,6.9,5.1,3.19,1.3,0.81,4.3
Portugal,4.61,5.61,6.71,7.8,9.39,10.1,11.39,11.1,8.7,6.9,5.2,4.61,7.69
Puerto Rico,7.66,8.26,9.1,8.94,8.23,8.65,9.06,8.64,7.82,7.33,6.75,7.01,8.12
Romania,2.29,3.04,4.52,6.2,7.9,8.9,9.29,9.1,7.5,5.71,2.9,2.0,5.79
Russia,2.6,3.98,5.82,7.27,7.84,8.7,8.42,7.42,5.95,4.15,2.73,1.98,5.81
Saint Pierre and Miquelon,1.6,2.51,3.73,4.4,5.35,5.75,5.32,5.6,5.2,3.84,2.1,1.46,3.91
Saudi Arabia,7.73,8.79,8.3,8.74,9.29,10.07,9.11,8.84,9.08,9.72,9.04,7.76,8.87
Senegal,8.39,9.09,10.13,10.55,10.05,8.92,7.4,6.32,7.33,8.4,8.78,8.16,8.62
Serbia,2.21,3.48,4.85,5.98,7.47,8.53,9.32,8.84,6.77,5.06,3.05,1.84,5.63
Singapore,5.56,6.54,6.22,5.79,5.8,5.92,6.06,5.83,5.21,5.01,4.32,4.31,5.54
Slovakia,2.1,2.93,4.9,6.8,8.52,9.0,8.9,8.71,6.9,4.61,2.0,1.52,5.58
Slovenia,2.29,4.07,4.81,5.93,7.58,8.2,9.45,8.52,6.1,3.87,2.2,1.81,5.41
Solomon Islands,6.0,5.55,6.4,6.4,6.8,6.6,6.0,6.6,6.4,7.3,7.2,5.3,6.38
Somalia,9.0,9.54,9.27,8.48,9.03,7.98,7.13,7.92,8.78,8.02,8.45,8.5,8.5
South Africa,8.99,8.62,8.27,8.06,8.74,8.61,8.98,9.19,9.31,8.91,9.18,9.54,8.69
South Korea,5.8,6.18,6.16,6.92,7.01,6.03,4.61,5.7,5.72,6.58,5.79,5.76,6.02
South Sudan,9.5,9.06,7.75,7.05,8.0,7.7,5.8,6.55,7.25,7.5,8.4,8.95,7.78
Spain,5.52,6.11,6.94,7.93,8.77,10.33,11.42,10.58,8.13,6.52,5.57,4.97,7.59
Sudan,8.95,9.66,9.55,10.7,10.29,10.15,9.45,9.31,10.0,9.95,9.65,9.31,9.75
Sweden,1.35,2.52,4.94,6.6,7.95,9.13,7.97,6.73,5.37,3.19,1.68,1.05,4.88
Switzerland,2.48,4.05,5.63,6.15,6.65,7.92,8.53,7.85,6.27,4.15,2.68,1.87,5.49
Taiwan,5.64,5.02,4.84,4.59,5.12,5.34,6.44,6.09,5.86,5.88,5.41,5.22,5.6
Tanzania,7.95,8.2,7.03,6.78,7.89,8.75,9.05,8.87,9.23,9.21,8.67,8.53,8.19
Thailand,8.05,8.25,7.59,7.38,5.7,4.5,3.85,3.8,4.2,5.55,6.7,7.75,6.18
Togo,8.1,8.36,8.03,7.38,7.57,6.08,4.99,4.51,5.22,7.72,8.63,8.3,7.07
Tunisia,5.9,6.8,7.25,8.2,9.6,10.5,11.75,11.0,8.95,7.7,6.7,5.8,8.36
Turkey,2.4,3.34,4.75,6.15,8.25,10.1,10.84,10.06,8.65,5.85,3.9,2.25,6.39
Uganda,7.6,7.09,6.35,6.25,6.11,6.25,5.44,5.85,5.87,6.02,6.27,6.71,6.31
Ukraine,1.0,2.04,4.0,6.0,9.0,9.0,10.0,8.0,7.0,5.0,2.0,1.0,5.36
United Arab Emirates,8.2,8.2,8.2,9.8,11.1,11.4,10.4,10.2,10.3,9.8,9.5,8.2,9.61
United Kingdom,1.87,2.8,3.71,5.23,6.24,6.17,6.19,5.92,4.63,3.52,2.4,1.58,4.19
United States,5.28,6.13,7.1,8.38,9.02,9.66,10.01,9.21,7.86,7.04,5.64,4.81,7.49
Uruguay,9.51,8.24,7.19,5.99,5.3,4.32,4.51,5.3,6.08,7.71,8.3,9.2,6.8
Uzbekistan,3.8,4.54,5.3,7.2,9.8,12.1,12.4,11.8,10.0,7.3,5.0,3.4,7.74
Venezuela,8.0,8.4,8.5,7.8,7.3,6.7,7.5,8.0,8.4,8.4,8.3,7.9,7.93
Vietnam,6.19,6.77,7.15,6.85,6.21,5.72,6.05,5.58,5.63,5.03,5.15,5.47,6.05
Zambia,5.7,6.0,7.1,8.2,9.0,9.2,9.6,9.8,9.7,8.8,7.6,5.9,8.04
Zimbabwe,7.45,7.2,7.8,8.35,8.85,8.85,9.15,9.7,9.7,9.0,7.8,6.85,8.4
